VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.251188643150958,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.251188643150958,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.251188643150958,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0630957344480193,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0630957344480193,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0630957344480193,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0630957344480193,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0158489319246111,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0158489319246111,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630957344480193,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158489319246111,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158489319246111
